DisciplinaID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
287555,3.17,3.17,3.33,2.83,3.17,2.5,3.5,3.17,3.17,4,1.67,3.5,2.5
527854,3.2,2.93,2.6,3.13,2.87,2.67,2.8,3.4,3.07,2.67,2.73,2.87,2.77
521299,3.5,3.67,2.5,2.83,2.67,3.17,3.33,3.5,3.33,2.67,2.83,3.33,3.33
527854,3.2,2.93,2.6,3.13,2.87,2.67,2.8,3.4,3.07,2.67,2.73,2.87,2.77
832399,2.73,3.09,2.36,2.91,2.64,2.82,2.55,2.45,2.36,2.64,2.36,3,3.09
287555,3.17,3.17,3.33,2.83,3.17,2.5,3.5,3.17,3.17,4,1.67,3.5,2.5
527854,3.2,2.93,2.6,3.13,2.87,2.67,2.8,3.4,3.07,2.67,2.73,2.87,2.77
MelhoresR,3.5,3.67,3.33,3.13,3.17,3.17,3.5,3.5,3.33,4,2.83,3.5,3.33
PioresR,2.73,2.93,2.36,2.83,2.64,2.5,2.55,2.45,2.36,2.64,1.67,2.87,2.5
